ra_hr,ra_min,ra_sec,dec,flux_den
4,45.4736842105,30.1052631579,-6.0263157895,4.2
4,45.5263157895,30.8947368421,-4.9736842105,4.2
4,45.5789473684,31.6842105263,-3.9210526316,4.5
4,45.6315789474,32.4736842105,-2.8684210526,4.6
4,45.6842105263,33.2631578947,-1.8157894737,4.8
4,45.7368421053,34.0526315789,-0.7631578947,5
4,45.7894736842,34.8421052632,0.2894736842,5
4,45.8421052632,35.6315789474,1.3421052632,5.12
4,45.8947368421,36.4210526316,2.3947368421,5.6
4,45.9473684211,37.2105263158,3.4473684211,6
4,46,38,4.5,6.1
5,41,23,-15.5,5
5,41.0526315789,23.7894736842,-14.4473684211,5.1
5,41.1052631579,24.5789473684,-13.3947368421,5.1
5,41.1578947368,25.3684210526,-12.3421052632,4.9
5,41.2105263158,26.1578947368,-11.2894736842,5.2
5,41.2631578947,26.9473684211,-10.2368421053,5.4
5,41.3157894737,27.7368421053,-9.1842105263,5.8
5,41.3684210526,28.5263157895,-8.1315789474,5.9
5,41.4210526316,29.3157894737,-7.0789473684,6
5,41.4736842105,30.1052631579,-6.0263157895,6
5,41.5263157895,30.8947368421,-4.9736842105,6.1
5,41.5789473684,31.6842105263,-3.9210526316,6.2
5,41.6315789474,32.4736842105,-2.8684210526,7.1
5,41.6842105263,33.2631578947,-1.8157894737,9.5
5,41.7368421053,34.0526315789,-0.7631578947,7.1
5,41.7894736842,34.8421052632,0.2894736842,6.5
5,41.8421052632,35.6315789474,1.3421052632,6.8
5,41.8947368421,36.4210526316,2.3947368421,7.2
5,41.9473684211,37.2105263158,3.4473684211,7.4
5,42,38,4.5,7.8
